album_id,album_name,release_year,release_month
7DAiPXN3HdbktwwFzQXqrZ,DELTARUNE Chapter 2 (Original Game Soundtrack),2021,09
5G5UwqPsxDKpxJLX4xsyuh,Hounds Of Love,1985,09
0KBFDO8qcY0zhybIESEQUt,Never for Ever (2018 Remaster),1980,09
5NKTuBLCYhN0OwqFiGdXd1,The Kick Inside,1978,02
2cRwYvvGigsHqk63ZGfuI2,The Dreaming (2018 Remaster),1982,09
69CeT4lno5kzyf0dmSCuvx,No Time for Sorrows,2004,10
30EQdPcM7Lf3IuKBw2WCau,Bułgarskie centrum,2016,04
2dR2ZmzPqVoBK9vxHNjEUo,The Dreaming,1982,09
3QkSnuKOjKG8u5A2iRxckz,To The Faithful Departed,1996,01
6CQsN8eylsRzenLyH77yDX,Przez Sztorm i Morskie Fale,2026,02
5sxeMat0eWMY6b4x76wShb,Obrzezany Ronin,2025,11
4wsN31rpFBwGS06xi3rp1P,DELTARUNE Chapters 3+4 (Original Game Soundtrack),2025,06
5wc12ZsmXNIlppTmNFZFLU,Parallel Lines (Remastered),1978,09
6c3BB1ehH8VjFTj0lDXLoz,Live,1999,11
1WfIjwnJ0aHiWCSkeSSeuV,Euphories,2021,01
0yQ1AZQJr5I83Gxf1toa2T,Chick Habit,1995,10
4R8S3uZtNKBKUZBmGK7NbV,Marchef w butonierce,2016,04
36zDEOv4A5PpbFGy1BbFrX,Best Of (1978- 2018),2018,08
2qsr0iDu8ZTkZP3dNHuVpE,Pretty Boy,2022,06
5TQVQA9wuKw6iOFobpYFDh,Skolioza Odbytu,2012,10
6MKWjtAaCgbK3AXFr8FMUe,El Segundo Es Felino,2008,
3p2jrSvJM2AjQj3gCPa0cP,Twarzą w twarz,2008,
6putGW0KxGMrgTZzplp2pF,DELTARUNE Chapter 1 (Original Game Soundtrack),2018,11
5Y0p2XCgRRIjna91aQE8q7,The Queen Is Dead,1986,06
2M2Ae2SvZe3fmzUtlVOV5Z,UNDERTALE Soundtrack,2015,09
0csodkDcQMFIU993bE3xQD,Styropian (Reedycja),2016,04
3WcIE1EZznLYyiV0O7OfKD,Sun Machine,1996,09
1NaVEW0MIIIsTtiB4PdZtW,Lekcja historii,2003,
6sgXLcumcSXGqR4ZsG9A1h,Wszystkiego Najlepszego Marian,2017,10
1aeNPtcRju5nXhQZYGYzdn,Posłuchaj to do Ciebie (Expanded),2016,04
4nTRBh25DROmPQlleiTRS9,Miłość jest cudowna (1975-2015),2015,10
3cESvMaqrM55f7qMPbrGEg,Sabat Nierządnic,2025,05
0ggc96WgrOAIWsvQbRG8zl,Музыкальный Глобус,2008,06
3ZPg21ng38hYexHSGO1zHh,GAY OVER,2025,10
5PwpsGammehltmf3slngFO,Złodzieje zapalniczek (Reedycja),2007,
7A0cDRZUQt4GhpSrMSfUcQ,Miłość w czasach popkultury,1999,
4M6s2jbhKWEcOdXZ8WiHts,Parallel Lines,1978,09
3pBUCoANZtFCC5KDZaBCcu,Piosenka (C. Miłosz),2025,02
1JEWC5ALGDhVNSQhWsdrI3,В последний раз,2005,05
47tDANOMCmdRDI5CVcjNKY,Kaprysy,2024,06
2UjK5MvmTBVUqdA7VAc2i7,Salon Recreativo,2001,
3grcR6yhx7gFwlQRTYH4sp,Hau! Hau!,2022,04
7slouenWhZDdDZibkS4nR3,Looking Out for You,2016,01
6tQbuJjaWsIrxyR1eIqxmN,Kaseta,1989,
5mw5lqpHiII2dtNFjWfKTd,did i tell u that i miss u,2024,05
57y8HhpAZJ7SkeetSXvTya,Królowa dram,2020,05
1up46iFfIWSVf9BEruuXwm,Był bal (J. Kofta),2025,02
4G4JZ2gXAuR5EpmFZtOVQT,Eviva l’arte! (K. Przerwa-Tetmajer),2025,01
