place,artist_id
0,1aSxMhuvixZ8h9dK9jIDwL
1,57DlMWmbVIf2ssJ8QBpBau
2,0qibngGI3EFCen6abY5hqY
3,3sntDD4Y2K97qvDq3GPqZ5
4,4tpUmLEVLCGFr93o8hFFIB
5,3QrpmDKMmvcSUTHH8xED93
6,4MiKufcWLuX6KDLzqhUgQD
7,0TMvoNR0AIJV138mHY6jdE
8,3ax9PnRMGOs5HJVLkDT2Ea
9,3yY2gUcIsjMr8hjo51PoJ8
10,0PkkQfDUJZuR2PcQ6uEV8j
11,5yrEzFs3Y9NmsHnmbej8k1
12,2uxD55T4gdYlDMGcGtxmMP
13,4NkE5k5xSRm6eVE7vMhqD6
14,7t0rwkOPGlDPEhaOcVtOt9
15,0LcJLqbBmaGUft1e9Mm8HV
16,1GRpnNhXWlNMgnFf3NqEjv
17,0O1kJu9OsLJujgbsMQHA7G
18,1OVBHv4jFhX06TWRCm7OSy
19,3Oim8XBPbznAa8Jj8QzNc8
20,2j2UkX1yKVgfoXrdF06SkS
21,004reCzVFOidvBuYrYia9Y
22,0MGE7m2KV6Db6jOZFy93aD
23,0jNyGycjZJJUipcQCrYLOf
24,6CwfuxIqcltXDGjfZsMd9A
25,4wck1fvaBpmJNFaeDT1Laa
26,3LkcDZeHCCCT4i4GxXbiPc
27,0RUEHcBiENFEqxgicqS2ig
28,7bu3H8JO7d0UbMoVzbo70s
29,4Nxn225FzpeUaqAaUjywvO
30,1dfeR4HaWDbWqFHLkxsg1d
31,2L14uYIQePr3ZEutb6feZz
32,41iWIl0DThSb5zndmSrYxO
33,0Y6dVaC9DZtPNH4591M42W
34,1S9WnjiTrLaqPCJ8gWSWWq
35,7w29UYBi0qsHi5RTcv3lmA
36,1ckVZCWKKoeh5GhtidoU4D
37,2n6FviARgtjjimZXu18uRM
38,3rp4f58JlRHkk8hpdLCer1
39,48nHO1cuTbpx4ELhChsxX1
40,4is11BcYr7Bu9DuwCEF0yz
41,5vkRK0P4lZHhSXG0SMXpaw
42,6QFG7WstN8KncUwtLdZbNi
43,6ndnNNPcLftMWmDp9i2Azq
44,0FWmyGDOieC2nr3kV5Lqkb
45,0WtTGUjbur1R1cNzBvbsMU
46,0bbvrSsm0Dh4erBbE1dhHD
47,0e86yPdC41PGRkLp2Q1Bph
48,0tuxLMGRErO5H0CognQrtA
49,1ZdhAl62G6ZlEKqIwUAfZR
