place,artist_id
0,1aSxMhuvixZ8h9dK9jIDwL
1,57DlMWmbVIf2ssJ8QBpBau
2,0qibngGI3EFCen6abY5hqY
3,3yY2gUcIsjMr8hjo51PoJ8
4,4tpUmLEVLCGFr93o8hFFIB
5,0RUEHcBiENFEqxgicqS2ig
6,2n6FviARgtjjimZXu18uRM
7,3ax9PnRMGOs5HJVLkDT2Ea
8,5yrEzFs3Y9NmsHnmbej8k1
9,3QrpmDKMmvcSUTHH8xED93
10,7w29UYBi0qsHi5RTcv3lmA
11,0PkkQfDUJZuR2PcQ6uEV8j
12,2uxD55T4gdYlDMGcGtxmMP
13,3rp4f58JlRHkk8hpdLCer1
14,7bu3H8JO7d0UbMoVzbo70s
15,004reCzVFOidvBuYrYia9Y
16,0WtTGUjbur1R1cNzBvbsMU
17,1GRpnNhXWlNMgnFf3NqEjv
18,1gl0S9pS0Zw0qfa14rDD3D
19,4MiKufcWLuX6KDLzqhUgQD
20,4NkE5k5xSRm6eVE7vMhqD6
21,7t0rwkOPGlDPEhaOcVtOt9
22,1OVBHv4jFhX06TWRCm7OSy
