album_id,genre
5G5UwqPsxDKpxJLX4xsyuh,art pop
5G5UwqPsxDKpxJLX4xsyuh,progressive pop
5G5UwqPsxDKpxJLX4xsyuh,new wave
5G5UwqPsxDKpxJLX4xsyuh,art rock
5G5UwqPsxDKpxJLX4xsyuh,progressive rock
5G5UwqPsxDKpxJLX4xsyuh,sophisti-pop
0KBFDO8qcY0zhybIESEQUt,progressive pop
0KBFDO8qcY0zhybIESEQUt,art rock
0KBFDO8qcY0zhybIESEQUt,new wave
5NKTuBLCYhN0OwqFiGdXd1,art pop
5NKTuBLCYhN0OwqFiGdXd1,progressive pop
5NKTuBLCYhN0OwqFiGdXd1,baroque pop
5NKTuBLCYhN0OwqFiGdXd1,art rock
5NKTuBLCYhN0OwqFiGdXd1,progressive rock
2cRwYvvGigsHqk63ZGfuI2,art rock
2cRwYvvGigsHqk63ZGfuI2,avant-pop
2cRwYvvGigsHqk63ZGfuI2,progressive pop
2cRwYvvGigsHqk63ZGfuI2,progressive rock
30EQdPcM7Lf3IuKBw2WCau,punk rock
2dR2ZmzPqVoBK9vxHNjEUo,art rock
2dR2ZmzPqVoBK9vxHNjEUo,avant-pop
2dR2ZmzPqVoBK9vxHNjEUo,progressive pop
2dR2ZmzPqVoBK9vxHNjEUo,progressive rock
3QkSnuKOjKG8u5A2iRxckz,alternative rock
3QkSnuKOjKG8u5A2iRxckz,indie rock
3QkSnuKOjKG8u5A2iRxckz,pop rock
3QkSnuKOjKG8u5A2iRxckz,jangle pop
3QkSnuKOjKG8u5A2iRxckz,post-punk
3QkSnuKOjKG8u5A2iRxckz,dream pop
6CQsN8eylsRzenLyH77yDX,punk
5wc12ZsmXNIlppTmNFZFLU,new wave
5wc12ZsmXNIlppTmNFZFLU,punk rock
5wc12ZsmXNIlppTmNFZFLU,pop rock
5wc12ZsmXNIlppTmNFZFLU,power pop
1WfIjwnJ0aHiWCSkeSSeuV,electropop
1WfIjwnJ0aHiWCSkeSSeuV,synthpop
1WfIjwnJ0aHiWCSkeSSeuV,independent
1WfIjwnJ0aHiWCSkeSSeuV,french pop
4R8S3uZtNKBKUZBmGK7NbV,punk rock
5TQVQA9wuKw6iOFobpYFDh,comedy rock
5TQVQA9wuKw6iOFobpYFDh,pop punk
6MKWjtAaCgbK3AXFr8FMUe,indie rock
6MKWjtAaCgbK3AXFr8FMUe,pop rock
6MKWjtAaCgbK3AXFr8FMUe,alternative rock
6MKWjtAaCgbK3AXFr8FMUe,latin alternative
5Y0p2XCgRRIjna91aQE8q7,indie rock
5Y0p2XCgRRIjna91aQE8q7,post-punk
2M2Ae2SvZe3fmzUtlVOV5Z,video game music
2M2Ae2SvZe3fmzUtlVOV5Z,chiptune
0csodkDcQMFIU993bE3xQD,punk rock
3WcIE1EZznLYyiV0O7OfKD,rock
6sgXLcumcSXGqR4ZsG9A1h,comedy rock
6sgXLcumcSXGqR4ZsG9A1h,pop punk
1aeNPtcRju5nXhQZYGYzdn,alternative rock
1aeNPtcRju5nXhQZYGYzdn,new wave
1aeNPtcRju5nXhQZYGYzdn,punk rock
1aeNPtcRju5nXhQZYGYzdn,psychedelic rock
4nTRBh25DROmPQlleiTRS9,rock
4nTRBh25DROmPQlleiTRS9,new wave
4nTRBh25DROmPQlleiTRS9,pop rock
4nTRBh25DROmPQlleiTRS9,pop
5PwpsGammehltmf3slngFO,punk rock
7A0cDRZUQt4GhpSrMSfUcQ,alternative rock
7A0cDRZUQt4GhpSrMSfUcQ,post-britpop
4M6s2jbhKWEcOdXZ8WiHts,new wave
4M6s2jbhKWEcOdXZ8WiHts,punk rock
4M6s2jbhKWEcOdXZ8WiHts,pop rock
4M6s2jbhKWEcOdXZ8WiHts,power pop
47tDANOMCmdRDI5CVcjNKY,indie pop
2UjK5MvmTBVUqdA7VAc2i7,punk rock
2UjK5MvmTBVUqdA7VAc2i7,rock
2UjK5MvmTBVUqdA7VAc2i7,alternative rock
2UjK5MvmTBVUqdA7VAc2i7,new wave
2UjK5MvmTBVUqdA7VAc2i7,psychedelic rock
2UjK5MvmTBVUqdA7VAc2i7,post-punk
2UjK5MvmTBVUqdA7VAc2i7,jazz
2UjK5MvmTBVUqdA7VAc2i7,hard rock
3grcR6yhx7gFwlQRTYH4sp,rock
7slouenWhZDdDZibkS4nR3,indie rock
6tQbuJjaWsIrxyR1eIqxmN,alternative rock
6tQbuJjaWsIrxyR1eIqxmN,punk rock
6tQbuJjaWsIrxyR1eIqxmN,hard rock
57y8HhpAZJ7SkeetSXvTya,electropop
57y8HhpAZJ7SkeetSXvTya,indie pop
1up46iFfIWSVf9BEruuXwm,indie pop
1up46iFfIWSVf9BEruuXwm,art pop
1up46iFfIWSVf9BEruuXwm,electropop
1up46iFfIWSVf9BEruuXwm,sung poetry
