place,track_id
0,348u3kyvdh35xgeCuXf7yk
1,5QBozbgRWIYDSriHCRTsXd
2,2OErSh4oVVAUll0vHxdr6p
3,0wae8KoprNjfrXWjYYHGy9
4,0ybMBs8mKdAP9WSnFTiZvs
5,0yaEukGHfawl8y0LoxANlU
6,7BGZ27yeaKR5OZOIxyegZi
7,5YSI1311X8t31PBjkBG4CZ
8,2ESRqedcCznFGbHGDQw1PR
9,3dSd4f3KMC3efgKlODlnfZ
10,5oKkU6VSkFSlTx3tP5zMoO
11,2LtaWqNRnCRBvONackei6O
12,29qKoBwabMU2FTfo93qpko
13,1UnyINtz1ofbohRdWUaFOM
14,0GxUznsPADwZOXwluZTHnj
15,5fJe0ZPIp8stQjC35HByQp
16,5agpMV7rvg7Hf8IiX5kQXe
17,1PtXEYrahu8Vg2rhpJBoqt
18,2pl1aMLPcte0dHWHSJ1mr0
19,0ZdeOzDxoMIsZgfHXlez9f
20,6O8PKYnYnKPbn00kBHYvkM
21,4j9dvpEjjIGHuUJDqw8tq8
22,7HrBbiOkeJ9ZT06iRIvQoK
23,325wllnOxlwBXMV8SkJOvm
24,3jfZ9M23l0L7RxzYMTgBTv
25,5NtbR7nleRf1hHEoIiyWDK
26,2L8ynuwjZTbrJMOoUuApDA
27,3qeFjtPJ1lIRKDTB5DZWpt
28,0mceseOuQ1VzuS4Q0UL7O0
29,0NZW0zqtJ4PF6uJ19701kp
30,1eN1L9mXLFepXpMJNSQng8
31,2bvbLvGD7YnS4Nhf9E4hUl
32,430E3w3LtgnajGgiotTyA3
33,6IK1BSHwa0g6qF6JiguZLO
34,5P24rd9NbQy9j5rqswrPbO
35,0vC2UIF6GgcQvEdQzjcmKv
36,7ho3BJsmZNpSFky8OQoOqo
37,3xDfRWPT7Bsnh1sXHLuEhZ
38,5jt7qdd7BaeZ67rwNx2S9A
39,6YgSLAMy78OdLfZwTjtClY
40,0rPytjmQTg2bG64jpZgSdy
41,6WhXF50byenR5PbqpKanoq
42,0cJiU6qLsGT5cBIuyZCHhs
43,3TsK2RiIBOSWoZY6rjF26l
44,12aZhjbBBFKIm1S9utKiIB
45,2hpQl8ryv3IonCg9LiAtGT
46,7n8WLP5LoWNrWs039AunWg
47,5gWIF2Rqa9rXufl7696JoU
48,6D3MtWx5wh0Wvfm155buXg
49,4jR1ikwj6ZQomTYGyn1ClM
