place,track_id
0,0GxUznsPADwZOXwluZTHnj
1,5QBozbgRWIYDSriHCRTsXd
2,2OErSh4oVVAUll0vHxdr6p
3,0wae8KoprNjfrXWjYYHGy9
4,0ybMBs8mKdAP9WSnFTiZvs
5,0yaEukGHfawl8y0LoxANlU
6,7BGZ27yeaKR5OZOIxyegZi
7,2LtaWqNRnCRBvONackei6O
8,2pl1aMLPcte0dHWHSJ1mr0
9,3dSd4f3KMC3efgKlODlnfZ
10,0ZdeOzDxoMIsZgfHXlez9f
11,6jWx7mD5oblxybTaWpiPZN
12,5oKkU6VSkFSlTx3tP5zMoO
13,2bvbLvGD7YnS4Nhf9E4hUl
14,430E3w3LtgnajGgiotTyA3
15,5P24rd9NbQy9j5rqswrPbO
16,0NZW0zqtJ4PF6uJ19701kp
17,348u3kyvdh35xgeCuXf7yk
18,7ho3BJsmZNpSFky8OQoOqo
19,3xDfRWPT7Bsnh1sXHLuEhZ
20,5YSI1311X8t31PBjkBG4CZ
21,6YgSLAMy78OdLfZwTjtClY
22,1PtXEYrahu8Vg2rhpJBoqt
23,0cJiU6qLsGT5cBIuyZCHhs
24,0rPytjmQTg2bG64jpZgSdy
25,2hpQl8ryv3IonCg9LiAtGT
26,1eN1L9mXLFepXpMJNSQng8
27,4jR1ikwj6ZQomTYGyn1ClM
28,03yOjwHoOPDlTUg0NRxN6t
29,1pzBe2vFkYc7RvieibXO8b
30,4cQJ27R11K634x5qCOwKW5
31,4j9dvpEjjIGHuUJDqw8tq8
32,4Wr6dnjoPHgEamTpJRPa72
33,0Qfv4U5HqVba2vpMlKdm1S
34,7FYby5bMAm5fD6A9cl87V9
35,0vC2UIF6GgcQvEdQzjcmKv
36,41WEPImi2i95nTM2uNUTNo
37,24XcYDLoQgqBR0F3NKuEAT
38,1fBZsS1Sb1EIiP3FIWLFsc
39,1PV9UUMqvIFD5uMWyWer3T
40,3AQaEqdtm7DVQlBZBw6ZQh
41,5agpMV7rvg7Hf8IiX5kQXe
42,7LPGJhkRDEW6KopWhD8DbX
43,6RMOZruWKO7gt7rd2K438m
44,0elOzsQVj1jdeac9hsoEiE
45,1kGO54rUtSq3FQ74u5BGvm
46,2dXpGC7Xejzhi8ElNJN4u3
47,3KQ86U3hp9QJCbft5pkaSN
48,5AyhBAisv1Zz8qAeVOSrQf
49,4v2rkl1mC3zVAz0nXMx9r4
